gen,nevals,avg,std,min,max,sigma
0,100,1.9658508389101685,13.318012338884605,-6.278521424165844,53.88631782016777,9.481737061148438
1,100,2.442191665170371,11.840845510252134,-6.278521424165844,39.30964054567594,9.127810575781021
2,100,5.157086175138208,13.486500470195518,-6.851184927493743,53.866601957003354,8.875115134777952
3,100,5.333396367454458,12.535180719845822,-6.354370040797351,39.409013019489144,8.65193842264238
4,100,6.30413673819471,12.716784328045598,-6.261491684321042,46.462129080077865,8.489087097812302
5,100,9.234300948137285,13.987826984846192,-6.2878585601617845,46.541575306970216,8.362850315833418
6,100,6.987855675622686,12.569097907504185,-6.257667587882639,46.375316609105795,8.271113736546784
7,100,11.7842640087103,12.835525385678023,-6.272877006546167,46.70698639161586,8.194932869094455
8,100,12.578329155289532,11.656195265116247,-6.272877006546167,46.69486503108351,8.140498839420342
9,100,17.480540229173226,14.045113104777105,-6.2766434893416445,72.4269554658996,8.111576006476774
10,100,19.004591786992304,12.285153506386484,-5.8289456176102075,54.06510580438041,8.097465093677215
11,100,18.584258701015848,17.15443537032335,-6.115892125483034,73.3137913760995,8.11423324632933
12,100,20.734381024180525,16.458507931960828,-6.2324480165505225,86.08379793739256,8.165776596195782
13,100,18.326327267615103,15.740565666961214,-6.280395838960195,75.84090461150807,8.229192063425234
14,100,16.84958023169616,14.893851158112296,-6.115892125483034,54.04935744741228,8.28262289251733
15,100,20.828122968642376,15.57270506336065,-6.255750041753367,54.37237888630936,8.301126396709684
16,100,18.616831396247363,17.275642502639492,-6.272877006546167,61.53129244001463,8.338621938699957
17,100,19.204319072095586,16.519460270926054,-6.289715570908998,74.57307397402958,8.365755960879572
18,100,21.888306761750123,14.012494021742304,-6.135564891081739,71.07574420258547,8.377834359076033
19,100,21.52864926076651,13.525307861798423,-6.075346031088684,53.78739390424848,8.40248718596747
20,100,24.57811340375997,15.239785151937406,-5.8289456176102075,84.2994908259573,8.43547213263185
21,100,23.891722763602004,16.82071925473739,-5.834810737062605,75.54935744741228,8.494582155831157
22,100,21.147252289468288,16.996713675830453,-6.253828811575473,79.08649699436172,8.545005838299206
23,100,26.187573948457125,16.639572603446677,-6.124683390894205,70.11389596854984,8.58540604293553
24,100,26.46435677109321,17.751692746778488,-5.834810737062605,72.12506926914797,8.624882286669681
25,100,26.879558552476045,16.889460392180556,-5.823045895483019,76.52873816020954,8.667112095472802
26,100,26.376219471488977,17.835334475284597,-6.220590170099739,76.56775481255198,8.737615139504138
27,100,26.23020858333319,18.092679964069703,-5.82600010738045,80.58110614572685,8.80522181418346
28,100,30.886191862460088,14.960079272844425,-5.823045895483019,61.59736666659863,8.894897445062453
29,100,30.038163934902016,18.230459962186515,-5.82600010738045,75.59736666659863,8.996663616219118
30,100,28.385999398857486,18.138182222008567,-6.113682179832232,81.38322890233343,9.069935920773167
31,100,33.17250910400181,18.502334723147737,-5.8289456176102075,76.65067522005315,9.106055676348634
32,100,33.57094265614417,17.6712236764478,-5.407171771460119,73.59736666659863,9.157685854984924
