gen,nevals,avg,std,min,max,sigma
0,100,31.098449714706177,34.550883926898,-6.870053411798126,88.85758228947826,9.66838336636456
1,100,26.462279629850915,33.45411928106031,-6.903747257584598,93.10229505687137,9.398337168560415
2,100,35.28426054593192,34.825577170177496,-6.897704943128636,88.6214785758342,9.174908429472048
3,100,34.03884252970312,34.06392044049261,-6.843749949006225,89.51011544777379,8.995476361754081
4,100,49.20302122099429,33.11325021219792,-6.898714534329988,87.6338919098963,8.846285100573493
5,100,39.24263789940915,35.427742484699166,-6.902742737158593,89.28687189361197,8.715615134939473
6,100,49.81568347757907,33.016774226680795,-6.840546529288687,90.45289246928257,8.606203387062735
7,100,48.611531994290125,33.68376038571881,-6.834108738813838,89.54075241723567,8.507312406284347
8,100,58.37778917704513,28.633182674589857,-6.79794041297493,91.01642023266135,8.425475681581377
9,100,57.087544186154425,29.296340575171882,-6.778784897685177,91.34599331292324,8.356813684707332
