gen,nevals,avg,std,min,max,sigma
0,100,27.845087438582333,34.78093482543488,-6.844815479208263,89.775069269148,9.669568795879426
1,100,29.704984492208215,32.96817692804081,-6.8658910748834385,85.07598249381275,9.396192903394274
2,100,37.40104147959402,35.39172464819002,-6.901737206656574,91.25541341912351,9.169313032330223
3,100,42.08768469838728,34.82717795271699,-6.84587987526405,91.9503492577662,8.98226520396467
4,100,46.384519375621906,33.82945014616999,-6.837332814685591,87.77695546589965,8.82277370335515
5,100,45.77476679553394,34.53460280766336,-6.902742737158593,91.10010264641754,8.683414941244479
6,100,51.280153795311634,32.09411313326728,-6.86484777797086,90.05699681219056,8.564513702683676
7,100,49.12360047870717,30.628890170343745,-6.874198495453294,91.57188534076951,8.4660547083917
8,100,61.020835331231176,27.25262607055942,-6.80128303447162,89.46536664213835,8.385769028051115
9,100,59.83619608077131,26.211774246101502,-6.8077552789820786,91.13730981109515,8.321657544214398
