gen,nevals,avg,std,min,max
0,58,-4.458090704818488,5.9972179021352074,-20.81524655013641,20.08773565767438
1,58,-2.207318967615897,8.175469156031067,-16.32172288117883,25.874782082166735
2,58,-0.051055836988086044,10.657573414292514,-19.02573544922162,29.33020977555316
3,58,3.6130248265962797,13.507918388545336,-16.265674718071484,52.313606883641604
4,58,6.022882042688595,13.456779793679488,-17.581580121170514,51.210866835801696
5,58,9.654071741991606,12.707356652123236,-12.212836113579726,37.196491643518286
6,58,10.934258949736186,13.815919502416438,-10.529020140062402,49.065350697930356
7,58,14.132662825262578,14.318300489512142,-10.362544725299536,43.54878131316032
8,58,20.850682983560635,18.271648862160653,-10.643496436187554,72.69825287282593
9,58,19.967820744180685,14.992742573035514,-12.159726430424012,56.97896356770124
10,58,23.534926809139467,17.140035751284987,-6.651257523110008,67.00462412961014
11,58,26.2832977583387,17.825341621840053,-13.605933197440852,61.1720547644634
12,58,28.97013501738497,17.523365064905175,-17.03412732426452,61.429835149317526
13,58,31.144852825269137,17.589757408306617,-0.4894579907628671,70.08307149672979
14,58,34.534688420053975,17.254508780726013,-4.2926941537373295,86.15439734927486
15,58,32.57436787263709,17.199014170489065,-2.8189993608949777,73.31656942540721
16,58,30.294424364229585,16.568604862315855,-0.2633717336250925,70.06585499156839
17,58,36.17686119264242,14.985233291021311,7.353104778829582,75.11060983306572
18,58,40.210594023340796,15.900369397505296,10.179492163718145,79.08099388642307
19,58,43.83164858142574,17.03045886251335,12.531922490932523,79.44641286444433
20,58,41.86043560439428,15.528172824470957,1.3116521954962739,70.13727122503863
21,58,39.2809586092904,15.568396710124567,9.294227114993504,70.56114893274467
22,58,40.11217667696194,13.893268983183598,16.707635417165463,73.23007615393516
23,58,42.17784444005999,16.089861938268452,4.986450851184124,78.93819967624563
24,58,47.43267293171642,16.272149307762692,7.6509748105113005,86.83491887776485
25,58,48.620685819104615,17.8034107851046,8.581210190557602,85.6761200181115
26,58,46.60753721007928,17.108054820717964,5.845618354110453,85.4968568403696
27,58,47.954294570996716,15.61909939443483,16.827429831312628,85.76617878645297
28,58,45.62641715238963,15.914341135893807,7.6064212408510485,73.27299985161062
29,58,48.23031912434849,15.255282955840302,12.135346721705933,79.55025426500849
30,58,50.4905275232197,16.931025291043277,7.705520043163261,86.06383450783866
31,58,51.11517574044942,12.05760403853175,21.266486622942118,78.97226005998414
32,58,54.07799756141422,14.511040657465541,30.01998607246242,87.12505115133928
33,58,53.59185652739091,16.67792589806276,4.4041522626231675,86.92014094418064
34,58,51.15714596851443,17.108263946328265,-0.0033617887966030935,86.90795960468864
35,58,50.71147551511822,15.13093237858049,14.050025814651818,85.80619753666814
36,58,55.594013620338885,15.817281034498194,18.985196751747637,85.37464577101917
37,58,55.50480635765471,14.234913792489307,24.9906598459537,86.18025223479414
38,58,58.29456416721301,12.316901693958277,25.77056922485224,85.47818688619327
39,58,55.49420556726233,15.961289629164632,20.636991099051016,87.13266131367226
40,58,54.23902844284962,16.721632805440393,24.67398246600333,86.53991124691247
41,58,53.690846470022834,13.068856398666611,25.909101043468358,86.5081322054009
42,58,55.930954929715895,16.478485981082905,20.926553029583665,86.26903564619113
43,58,51.35755338881687,17.259318196430698,7.540134582870202,87.15325039237821
44,58,51.27502905997787,14.404208249325844,7.404832036484198,79.48440774955596
45,58,52.91457328424361,15.183552733494768,20.699453238609678,86.10437069440422
46,58,51.84156941008079,16.32442742345748,7.8848914198642035,85.62549689679224
47,58,56.89898821864338,16.411926850463377,20.979021836250354,86.262984577261
48,58,54.84330332155729,16.82537239770278,11.426536070287742,87.25885166336963
49,58,56.55849325094734,14.65929618850329,22.381584978200138,86.45365270493339
50,58,55.41626522894781,17.22690009354512,21.048282049309755,87.47472560845134
51,58,57.77623258008576,16.166133666218826,24.27676565458775,86.33400458250685
52,58,54.739093562958466,15.055329045361441,24.323614362414524,86.65357902063164
53,58,54.386276352155186,16.5038550208816,16.851855479710707,86.4511050563757
54,58,54.19917157985432,15.90937081262872,24.197128484427374,86.16697342020228
55,58,57.838444050831114,17.11277851460804,10.260307482158552,87.20423596101031
56,58,58.495883801104426,18.302971097159183,16.973593463054605,87.21803727928243
57,58,63.5647751776319,17.267816775419266,25.476723602587043,86.94502811581917
58,58,62.28161438952972,15.965072332083375,23.544407421301653,87.1108919719526
59,58,63.78516421635347,16.67426084780751,24.20036179159262,86.58775726738371
60,58,61.288628672088564,18.96017977130495,21.031962542870417,88.05231148797397
61,58,61.93679769062796,15.576599512169842,28.0882644321397,86.57395886825351
62,58,61.97521518005988,19.540030488777973,20.682794138003075,87.68281031640727
63,58,63.3562885247126,18.039633579970488,16.64137614636543,86.67535532743273
64,58,60.073425901301086,17.44686232355786,24.167528805020346,87.75014245210424
65,58,60.66932415481253,18.118654142828174,21.649470504237563,87.650857182933
66,58,61.69139220699382,16.61059024395138,23.35181851916413,86.77287315178222
67,58,66.2657449745259,13.89700739660434,29.793835570104285,86.90438543116639
68,58,63.41521502713066,15.941806426312763,24.19984023051864,87.57255422576615
69,58,59.761500964647745,17.73198405744995,29.568077286903737,86.94944915874518
70,58,64.93347087612246,17.065730870889738,30.122217866783636,87.31211684465016
71,58,66.51202259514685,17.072436286889616,24.734619423349372,87.46868181648868
72,58,63.90301921792711,19.13071957869348,24.433725165443022,86.91808404105059
73,58,67.7884445062855,16.393919770285855,27.78008183576887,88.03151155545441
74,58,67.28577714231871,17.13162369277547,36.12847390954871,87.41215437784078
75,58,65.03317767161853,19.599681977392493,25.754459322392563,88.09247933658978
76,58,66.27411985304407,19.58069678654811,16.6390938618131,87.25838380908954
77,58,69.11613886338476,17.996432168495218,24.154212902558875,88.13334555349634
78,58,63.19437035806438,19.023371416014356,24.601740618202733,87.21833053391859
79,58,69.87107102085983,18.33162259067288,29.656517882793462,87.43531638012314
80,58,66.3724548057983,18.367588477517106,29.337684675580277,87.75163388035773
