generation,max,mean,std,mean no. nodes
0,1.905288620398161,-5.172120954668509,1.2699254222709395,15.0
1,12.78677961290989,-4.316463791809761,2.471287406035318,15.07
2,12.78677961290989,-3.6464305991833283,2.8804637358430405,14.77
3,12.78677961290989,-2.766624311628247,3.560239516733275,14.97
4,12.78677961290989,-2.0478600022607547,3.8820156498476095,14.96
5,12.78677961290989,-1.8465557009363869,3.8990149377989023,14.970297029702971
6,13.797464482812078,-1.9435817023667654,4.204901492214005,14.818181818181818
7,13.797464482812078,-2.1077216116808284,4.363708260327228,15.484848484848484
8,13.797464482812078,-1.6894784421114337,4.185881245651077,15.237623762376238
9,13.797464482812078,-1.9833429594440097,4.2758827522024285,15.31
10,13.797464482812078,-1.5856946851144278,4.035864350271431,16.28
11,13.797464482812078,-1.6492026599472565,4.063170004073952,16.06
12,13.797464482812078,-1.5903669213962934,4.10848599156543,16.21
13,13.797464482812078,-1.2431859986213123,4.059211597530388,15.99
14,13.797464482812078,-2.7537905433917826,3.935738337010136,15.98
15,13.797464482812078,-2.4322306927625066,3.8608859484550218,16.36
16,13.797464482812078,-1.958222998071604,4.096706934743501,16.0
17,52.674975180172126,-1.3939486601990756,6.920589878595381,16.37
18,52.674975180172126,-2.08499104302046,6.9716664350835735,16.19
19,52.674975180172126,-1.480617435919857,6.7916798085307715,15.39
20,52.674975180172126,-1.9110423868891846,6.823912016612481,15.01
21,52.674975180172126,-2.0007411033670697,6.83845519708923,14.797979797979798
22,52.674975180172126,-2.2805088304213013,6.958416917821849,13.93939393939394
23,52.674975180172126,-1.833305359357506,6.951939320654228,13.5
24,52.674975180172126,-1.776524558419784,7.612686725886501,13.22
25,52.674975180172126,-1.0885961213823299,7.893172505436243,13.58
26,52.674975180172126,-0.2851123792029385,8.031476315763316,14.28
27,52.674975180172126,-1.1367816528538102,7.985885672477342,14.57
28,52.674975180172126,-1.076273455290322,8.06845558058519,14.37
29,52.674975180172126,-0.3920273226730107,8.123171205795877,14.28
30,52.674975180172126,-1.0515876815484013,8.557083039447436,14.82
31,52.674975180172126,-1.0502991389273146,7.994049752630781,14.81
32,52.674975180172126,-0.4736118286987452,7.9270151880960915,15.19
33,52.674975180172126,-0.896446113751388,8.143039301648459,14.96
34,52.674975180172126,-0.6611577807208022,8.39464501782703,14.76
35,52.674975180172126,-0.6656862925579357,8.100818316185423,14.7
36,52.674975180172126,-0.6161287241366081,8.05947213937845,14.56
37,52.674975180172126,-0.3288700046783975,8.043584411199959,13.88
38,52.674975180172126,-0.9590261686598056,8.125760633256885,13.87
39,52.674975180172126,-1.4077689947947263,8.05879845776872,13.76
40,52.674975180172126,-0.5127817415008916,8.082878915337444,12.44
41,52.674975180172126,0.14794506057572718,7.878020458328935,12.87
42,52.674975180172126,-0.41171459011179645,7.91279326903498,12.29
