gen,nevals,avg,std,min,max,sigma
0,100,5.435450552088895,12.277687186602355,-7.262628600974241,39.026190388130736,9.672699188373903
1,100,4.9641074306839394,12.28763824219126,-7.284134806195205,46.1421577334919,9.406062859969895
2,100,5.4532385264215835,12.984350607588496,-7.25063551189868,53.65261079034399,9.178107312806793
3,100,3.739619817860372,12.235449690098823,-7.301147805856032,53.64562995920265,8.977937972799682
4,100,8.182849155221326,12.159105068742575,-6.0112671744041615,46.283393898915136,8.81383439579703
5,100,9.49828731690979,13.73931037442093,-7.264730177929867,60.86668156671962,8.671141683509488
6,100,9.163069163383271,11.742461015854758,-6.171700597410915,53.406955465857564,8.545221886928653
7,100,11.738985056637611,14.607161315113679,-6.343880434126331,53.753893234518436,8.435145973445552
8,100,15.02762166255339,15.077927414196944,-6.210600077024653,61.0292004962174,8.336850027293167
9,100,16.903165759992977,17.520436526573285,-7.104144092987527,75.97302763711038,8.24788959343961
