gen,nevals,avg,std,min,max,sigma
0,100,-3.2570564174957473,8.460882613930387,-14.04395284614432,25.6144012497466,9.665546525342476
1,100,-1.1588995243147922,11.294723169619628,-14.352509064034288,47.51944830965846,9.398916759947653
2,100,0.3471829124016638,9.991339616660742,-13.539283953705006,18.886343876600925,9.182947153158748
3,100,1.3616522193222977,12.670883340879662,-14.569641825137207,39.26786962973436,8.99066929727181
4,100,1.1260966555642862,12.253341006708137,-14.378335476840645,39.85846341149883,8.83103851311914
5,100,0.7795355604123481,13.727573278527771,-14.240888744784975,61.73578280510045,8.691356800254377
6,100,-0.24773868963290085,11.798132370603067,-14.532257559112901,33.04729818140413,8.565095709374152
7,100,2.5465946250103793,12.907925008246123,-14.602295611712064,54.92355922581945,8.457783503372875
8,100,3.8448035561899054,12.36001686175322,-12.292658515337795,54.228106888626705,8.373991029583284
9,100,4.1010669149459265,12.892967116431823,-11.783288423651543,40.148265459788476,8.288511918450201
10,100,4.3221049022686895,10.928926954191583,-12.40101834808538,38.36877327280457,8.210613134630915
11,100,7.518669169751126,13.712889040286774,-14.093294555697511,47.2843154669838,8.143169416830245
12,100,5.6110608355130696,10.918414303365356,-12.460962895156964,33.1144012497466,8.087472049635831
13,100,11.615148216006192,13.100812516235864,-11.89084121721315,47.315757162557695,8.031093027786406
14,100,7.972472410024449,12.251923360017575,-11.511484427173825,46.982461726056634,7.9844756458471
15,100,10.489800486509635,13.616363189569542,-11.987922854613139,54.32765669029065,7.9386571201045255
16,100,8.812075164340177,14.269071687816997,-11.89084121721315,54.561499366408455,7.8982260129381245
17,100,10.834793988962769,15.391082380903091,-11.732936113866593,75.38646068885575,7.8682612401933785
18,100,14.855045319442645,15.023258612766938,-10.396994062531652,64.45257093134008,7.838955971022478
19,100,14.65187687613264,15.5676764175685,-11.853852051940821,67.21928139254456,7.815184246262301
20,100,16.810227603458358,15.369136554652034,-11.727262351196194,65.02951745797273,7.792359916578978
21,100,17.10657170539317,18.123418750225937,-11.598185308921051,72.76103715917148,7.7783751728167045
22,100,18.534478303136282,16.14734831208339,-11.269579206338499,74.72408759864594,7.7708805925947315
23,100,21.049483652892697,16.99186583965769,-12.178089750893692,70.22987141209497,7.76204666727982
24,100,19.139107515068797,16.668696635175976,-11.982929094215963,67.45661133675463,7.749428025257783
25,100,21.345124925988788,19.010944507350274,-11.992904177238042,75.91575716255778,7.7428519621640035
26,100,21.651631345774685,18.418125435903605,-12.108878692538742,71.25675546438703,7.747888795295515
27,100,24.713412554228327,20.06994255939452,-11.579920341794507,73.61433885709177,7.756256360743788
28,100,26.5958029851755,18.978778073720285,-10.047761041692553,72.09250548483088,7.771238125647013
29,100,24.768881404852667,20.1187862067933,-11.982929094215963,73.74654610420282,7.785293668916887
30,100,22.12647988644033,19.28438995396292,-10.021270588192511,68.78829064241964,7.793364415802524
31,100,25.235887958461877,19.81748487636856,-12.476649250079015,74.60642917847903,7.804831245468364
32,100,29.607874160473642,21.837410065821246,-4.61356802645725,75.24753976254232,7.816629042442109
33,100,30.683939096322998,20.849096386816118,-11.952701818595868,74.20856036122892,7.82538721632888
34,100,25.3056043977668,19.012509734996435,-12.476649250079015,74.54984831880083,7.831924680529167
35,100,27.40711912769949,20.746737653492982,-12.037186428992468,69.42948331895376,7.836529157477561
36,100,29.904603339889363,21.101658160431874,-12.719147737344755,76.25281013092967,7.840829248875329
37,100,31.957737001935584,20.603908080397474,-12.907249997785383,73.21001014370579,7.845017309468179
38,100,27.72869805848958,19.375534755182645,-10.9020769071314,74.930191091245,7.8523863714655
39,100,33.50629518637437,21.180651685157,-12.437200239383458,76.7484284106736,7.867241512949696
40,100,29.078931662681594,20.034083361118967,-12.875503299472802,74.4263485377072,7.882966708475534
41,100,30.452415045650337,22.697799997137373,-10.472883925659898,78.24110239515612,7.90386804952619
42,100,28.795078728128416,19.958068205808658,-4.337787708546292,76.72287718890883,7.921554640951622
43,100,29.90726858868321,20.205707442654113,-4.522534348808323,78.47989149700398,7.938254320838705
44,100,32.603975473950605,21.124427832291794,-11.937415119970732,72.50985358693936,7.9525746646040805
45,100,28.409689724845222,19.801018237431613,-10.849900034962806,74.62860791056457,7.974943565274084
46,100,33.58445819347576,24.672433280519403,-11.821593288081054,75.9984284106736,8.003521862675685
47,100,34.20658815624069,22.885525791155167,-12.464896033101045,73.86771055152482,8.032812771410931
48,100,32.29777773193236,23.846862018259944,-12.122913837856034,77.0521015062882,8.067673355918934
49,100,34.945575944239785,22.800701753630822,-4.432293478247384,75.14984831880085,8.100492080870511
50,100,33.95966211970964,22.2891414209577,-4.422010679246547,77.17951745797276,8.129823457668977
51,100,39.74961573045066,22.846946243569352,-4.664437820752893,76.88960287331983,8.153947596710447
52,100,38.624485630620285,23.963043068419946,-4.442523679580924,78.8999327156664,8.172662433882135
53,100,40.903442261712215,25.997041615846577,-11.604236750754126,79.79671302131679,8.179877009208598
54,100,39.97327870418525,21.3955827950543,-4.447619223738522,77.61928399695542,8.188497135266642
55,100,39.41051323001608,24.166572476885108,-5.441599007565204,78.41117308050052,8.199177886430808
56,100,40.04058985850504,21.318068789067098,-4.462828422508961,76.71149936640853,8.214651294779703
57,100,39.77349803416304,25.305035438090183,-13.41616816770614,81.27056885818206,8.231240812084701
58,100,39.415569837978,24.484767949872943,-11.427465611018738,82.30025900157437,8.24465747797811
59,100,40.96537235792731,23.26713762369262,-11.90648666857557,77.49482421562142,8.249996501574413
60,100,43.94870880638032,23.438210604461304,-4.497873123893365,80.55172201724046,8.256965244225276
61,100,43.15651754091395,23.449399640565755,-4.266644776976557,77.55543491461208,8.265103116866317
62,100,40.11182373060473,22.91218373622193,-4.546895185922066,80.83431546698387,8.283947989621014
63,100,43.38730735693812,23.379447984778004,-4.310723696109141,80.75840099243486,8.300618453542619
64,100,44.495925136775995,24.099534256518663,-11.704404959548949,79.71555346908974,8.324919856689396
65,100,36.87670968397272,24.110058952859585,-4.497873123893365,78.21928399695541,8.34942686366297
66,100,44.703195582494885,23.81076104393686,-12.187139540090271,81.09275000221467,8.370099872200024
67,100,37.341278599633576,24.699983569708998,-12.318190776983865,77.63019109124501,8.390035514761927
68,100,39.34258402377294,25.282182688182772,-4.876528246165179,75.60424598690774,8.4071896134548
69,100,40.74843029389776,24.097639609469283,-4.590010628072024,79.09616560654571,8.428504725397069
70,100,39.35985657115245,23.79276546177302,-12.557042848331688,79.07463196303085,8.445401682663343
71,100,39.251644808515586,24.014833265165237,-11.634222319926408,75.80840099243488,8.46536913658844
72,100,40.07013689723225,24.95788585973778,-11.788805668529701,77.99295715166839,8.489691218230972
73,100,41.853253247077454,22.389920559655504,-12.37652824616518,77.21423872841628,8.513672829951723
74,100,39.6084341548908,24.470457781426557,-12.405071034375846,76.4333234333105,8.529769477268534
75,100,40.07538297873933,22.377860785573002,-4.570962865049513,78.69110239515612,8.535974737032316
76,100,37.74676166315018,24.059911256124224,-12.770388797995452,77.09125991840538,8.548509768835078
77,100,39.00075019542165,22.96573461347546,-4.888810782209344,77.68397790825858,8.55283582907831
78,100,38.221225254706155,25.27242668746415,-11.799794707164983,79.25840099243487,8.558945091207047
79,100,42.69264224299185,23.002590167927085,-4.727364359664463,78.82706364729265,8.56298613101104
80,100,41.969241084571884,21.94870093309924,-4.714045775484509,77.34590209112564,8.56973149505123
81,100,38.99878269448774,22.365907304137192,-4.406486668575569,80.60221860729553,8.578175265905452
82,100,38.881612357018994,25.011191697362687,-12.046895185922066,75.03849991649335,8.580349267986389
83,100,40.81050126723272,24.42622761923723,-12.164437820752893,76.48246172605673,8.58180233653148
84,100,43.99164709350244,23.49386823807017,-4.6552844866980685,78.16653543497543,8.589976190170516
85,100,44.343202506002555,24.270128209757786,-4.775454108172468,77.9317825223724,8.608642610067104
86,100,45.83142796616862,22.9478861915659,-12.187139540090271,83.46771055152479,8.622096223752255
87,100,42.41857816324085,24.513545365029334,-11.885598750253402,81.66206377250718,8.64033344850041
88,100,49.253554609580654,23.817777033060285,-12.271129782163477,80.20298194277103,8.669707842627734
89,100,50.066243556391555,23.47586583411364,-11.916849386059564,80.4651940440511,8.701321022994838
90,100,49.79483003988642,22.209583623280977,-4.636851176488221,81.01223913174739,8.733616109098593
91,100,49.60613958439515,21.25910152042945,-4.447619223738522,78.50530741099827,8.760692442940627
92,100,49.8662102819302,22.180063805982407,-11.7610659728014,80.04211235079912,8.777123254126922
93,100,51.52821692697059,20.340674215906205,-4.788371268251291,78.22706364729265,8.798614097837177
94,100,48.595852208984596,22.4852968366011,-4.599466910463915,79.54913456659189,8.816105811109823
95,100,47.9837145973188,21.07491733742807,2.4131614423070378,80.02591793033388,8.825632011473735
96,100,51.064121398888595,23.006299438067053,-11.927158687236892,79.27290390744588,8.832339484766909
97,100,52.15387279555971,20.97529257651461,-4.758100420121091,80.32394108615871,8.837219175072894
98,100,52.564365929381495,22.143756495876804,-4.477922833779727,79.71149936640852,8.846320328745973
