gen,nevals,avg,std,min,max,sigma
0,100,2.887978177019309,11.04975751743254,-6.703188113240863,46.35796259441264,9.668933365869265
1,100,4.845603482911931,11.743223106187571,-6.695798917058491,46.322055885949396,9.41116262294325
2,100,5.189804085985812,11.21208846778971,-7.1049654482698426,73.18163506406384,9.198549825178409
3,100,7.703344844923403,12.139738008628287,-6.329720905522696,46.29140997390337,9.017304557335532
4,100,6.001152773026905,11.623931836218151,-7.063220387090243,46.27346333071253,8.855506863751115
5,100,8.065900621601658,11.73394669555626,-6.304448802421981,38.964518567475245,8.718907962615193
6,100,6.680225002336279,13.049910233976702,-7.069023426578259,69.48604389043402,8.597331486029084
7,100,9.908376057052187,12.973511192221476,-6.466144724237619,71.22771745730604,8.502485626528117
8,100,10.578946794097686,13.157303197383728,-6.249975242259483,53.4207487879899,8.415771916980889
9,100,11.798508874538097,12.15240342440176,-6.20050917404269,46.255833099336265,8.333943949407306
