gen,nevals,avg,std,min,max,sigma
0,100,3.0547011470127483,13.832109367575285,-5.971261839790462,54.701682633451966,9.66080684761391
1,100,3.7375968902316266,11.684001812606802,-5.961005339623274,39.50693855665945,9.395966162130701
2,100,6.374542412071527,13.706397487267104,-6.09807428216624,54.340517784240376,9.174003491959258
3,100,7.4531550846574905,15.11082902507011,-5.916202062607435,61.244249958246634,8.99460450057705
4,100,10.893900897269962,18.105464519102384,-6.068425588244111,75.3590130194892,8.844911120033238
5,100,16.331957452558353,18.178519782930774,-5.8805329864007,72.01106227384336,8.714640580520154
6,100,19.36884717143902,17.831137884256467,-5.771441123130016,62.070654371045556,8.608469443317517
7,100,25.793924789700565,22.38724936364031,-5.736572297479192,77.398141866524,8.524938411467447
8,100,31.429594892456976,22.974290324811573,-6.0473721790462776,81.01520306650941,8.453720936326977
9,100,33.29428718959769,20.26704156472694,-5.8944028342648505,76.93254710353536,8.402048910293539
