gen,nevals,avg,std,min,max,sigma
0,100,3.947508968713308,14.277572908807095,-6.182084906716632,54.691732302598794,9.663532194750825
1,100,3.3479479931230607,12.422198907261786,-6.22455842927536,61.244249958246634,9.407688057874275
2,100,7.17364663303293,14.860665755585398,-5.963579343618446,54.77964417492168,9.18875142085648
3,100,7.3649714443843814,16.587657610197464,-6.135564891081739,71.47405089685374,9.01759460644461
4,100,15.283889430813524,19.753451269409897,-5.955837369464831,76.23389190989631,8.878349088629303
5,100,18.230562169491165,19.697187175979163,-6.278521424165844,62.12472159231584,8.753067569985596
6,100,25.94168550485472,20.87965643581731,-5.746203190540153,75.56661051127254,8.652032796496957
7,100,27.120998376809,18.18449733832549,-6.1903154058531475,72.94041448585591,8.568118914531265
8,100,28.716784530522094,19.662242974678147,-5.752572638825633,85.48254710353538,8.497367881741374
9,100,34.59442128884943,21.70646198552072,-5.37989735354046,91.96719807741366,8.438638322765248
