gen,nevals,avg,std,min,max,sigma
0,100,3.6700482768182257,14.125925711213569,-6.18826412308259,62.011062273843315,9.670498678921748
1,100,7.073466144657795,13.943723936359026,-5.886104031450156,54.12226421822036,9.402738241696946
2,100,8.969749980320389,16.37409381305277,-5.8888779583328805,72.67504998251864,9.186692005040243
3,100,14.00841857541316,20.8442737874672,-6.246106765481563,72.65326262833374,9.005180545723611
4,100,12.03939305626057,17.321986090727577,-5.820082930352362,86.21661051127256,8.857958098818225
5,100,23.410763021834118,22.4976552316239,-5.746203190540153,78.79467888464237,8.737408667153314
6,100,31.19655587529734,24.41535770169764,-5.831882477283517,81.95758228947828,8.62695340331772
7,100,36.48048142708184,23.39804843865698,-5.940171252720432,83.90956741322134,8.538323148943242
8,100,43.69507293168886,24.21574083466889,-3.7376696182833684,84.18616819497447,8.465462038793879
9,100,44.836766421570175,23.225818723633363,-3.332204510175204,81.72936197187242,8.41134240289023
