gen,nevals,avg,std,min,max,sigma
0,100,6.939914241872293,17.178088054906024,-6.728628613084702,61.14224472101793,9.67009362494503
1,100,8.65930639516052,22.05132799317181,-6.894670039433482,79.79642580206526,9.405187701669567
2,100,10.483997805214065,22.747796287501245,-6.804614520062624,84.15090734553957,9.18739961525276
3,100,18.917635826657758,26.88708754897087,-6.728628613084702,82.61107352246655,9.006266572377573
4,100,20.389218643700925,25.30923945099726,-6.75343791859778,82.7838532608764,8.854539829660201
5,100,26.21678741908685,27.988646581148785,-6.8885724595653635,87.38165549623898,8.726870564367227
6,100,32.85736683500687,29.641079522356247,-6.8077552789820786,87.73288884003686,8.616566001910865
7,100,27.14610175611233,27.58335161358803,-6.587550014824796,87.47959913428292,8.526024246384043
8,100,40.947302233422946,30.95179861955894,-6.415096959171596,88.14282822853995,8.455396179854878
9,100,41.23634470107312,29.384338312305125,-6.259581464064923,85.38322890233351,8.39987657857375
