gen,nevals,avg,std,min,max,sigma
0,100,1.0892706822244296,10.509208013672458,-6.415096959171596,46.62788221052458,9.667919707644423
1,100,1.8815995950460631,11.714101061172023,-7.454719949364001,53.66140592179681,9.396480457097674
2,100,2.3875272391134312,12.779151324363028,-6.634633357861686,53.85581436587435,9.175988833932998
3,100,2.0208952396552102,10.761254497769691,-6.333279628139691,45.87992679346964,8.9940232741269
4,100,2.4383491237669275,11.721534882087017,-7.038783541388542,54.10559716573515,8.838196774636321
5,100,4.8369972969486845,13.20711785797887,-6.792344427470809,60.232474572171824,8.7143411229128
6,100,6.469841862069305,12.814015960076269,-6.612041034833092,39.15645558296864,8.606700953783363
7,100,9.231420985455452,17.71346033271968,-6.710523109452428,71.49611293289352,8.512891438600544
8,100,9.109897901746013,15.164172178184492,-7.580189417944541,82.16306308629247,8.433274297295807
9,100,9.592693648466277,14.107961596645534,-6.576469569048224,53.677434760072714,8.36610626258542
