gen,nevals,avg,std,min,max,sigma
0,100,1.0224297222895926,10.372777906435385,-6.548219102762372,46.78957298262513,9.672235174799146
1,100,2.405327969727967,13.277962818647666,-6.587550014824796,53.87970258104905,9.405445411715013
2,100,-0.838409853549583,7.865995363403095,-6.703188113240863,46.15261079034399,9.188636504518701
3,100,1.2861537589563,9.97319124305142,-7.5688956634069955,39.46661051127248,9.007246718451162
4,100,2.641370082368704,12.470392162064478,-7.194436851100335,52.591469433105374,8.851537184572777
5,100,7.286599181984792,15.159020471463405,-6.602587892189336,54.22544845445559,8.71433936440728
6,100,6.762678671489964,15.340740086522247,-6.7226297948554485,75.24468715666032,8.593432155984697
7,100,7.02737200649562,14.095320238723342,-7.066466970136958,46.43389190989625,8.495203888372304
8,100,8.086827581041092,14.48556581363854,-6.837332814685591,54.56192069107681,8.406541718474081
9,100,9.541946693328468,14.279364780906878,-6.535241271013659,54.40528862039816,8.34069885614446
