generation,max,mean,std
0,39.70745339829273,-2.1113576491272417,8.724318020966258
1,52.88724487348515,3.4972052878673243,12.570384866986966
2,57.65278089020128,5.48624041121525,14.350412698978943
3,63.34199021240602,6.852757501639164,15.94133036834072
4,63.34199021240602,7.4680202544529894,15.495307868352137
5,67.38367402783604,7.671387463920765,16.736963129225455
6,67.38367402783604,9.303523532044776,16.654319136852283
7,67.38367402783604,9.245914095861862,17.592292343946564
8,67.38367402783604,6.331218372879761,17.212931597903335
9,67.38367402783604,9.598662742237359,17.48734344638862
10,67.38367402783604,9.877293434106674,18.851662892101828
11,67.38367402783604,10.596816939829097,17.88035084675395
12,67.38367402783604,8.535719448061657,17.263851212784225
13,67.38367402783604,8.611420886875399,17.698688135829816
14,67.38367402783604,10.48076895387271,18.095254566998996
15,67.38367402783604,12.242747162274197,18.828146895685272
16,67.38367402783604,15.54676793855026,18.48289051965352
17,67.38367402783604,18.377722780451315,20.148143684788177
18,67.38367402783604,18.90655441367418,19.444575511139156
19,67.38367402783604,16.56089896509675,19.46041710109339
20,67.38367402783604,17.524752655787697,19.384854563191457
21,67.38367402783604,21.06196336190728,18.317021065175986
22,67.38367402783604,20.712978116015073,19.391014447078604
23,67.38367402783604,20.128203699195886,20.636591078889687
24,67.38367402783604,21.436346270803657,19.686333002360136
25,67.38367402783604,19.98809443684404,19.97514625410282
26,67.38367402783604,20.038996885261557,20.171136046865517
27,67.38367402783604,20.952927877773547,20.43484726969336
28,67.38367402783604,18.973100590337932,19.323510986244223
29,67.38367402783604,21.077970473993776,19.871744608099096
30,67.38367402783604,19.411471102827345,20.95818285388245
31,67.38367402783604,20.392398998151194,20.951363751779304
32,67.38367402783604,21.923136810430492,19.638492397218595
33,67.38367402783604,20.804504509899427,19.665098419648178
34,77.40081559627615,21.436898593099055,20.245503836643312
35,77.40081559627615,17.71409097414821,20.11912110093966
36,77.40081559627615,21.5713557414312,19.713637587270263
37,77.40081559627615,20.944917410420985,19.450219331775717
38,77.40081559627615,23.50223480975856,18.91438301637234
39,77.40081559627615,21.354348463237194,19.78035024869537
40,77.40081559627615,18.357996842494256,20.581048255248845
41,77.40081559627615,22.596230551936703,20.222988348271123
42,77.40081559627615,23.02959116771007,19.740954055496736
43,77.40081559627615,22.862064383659973,19.50142288861734
44,77.40081559627615,23.43233274563996,19.069920920822717
45,77.40081559627615,22.033295417709407,18.904487254061447
46,77.40081559627615,23.13982635383064,19.95325224913246
47,77.40081559627615,22.72113856812039,19.575133064152634
48,77.40081559627615,20.347608769174574,19.971943276748117
49,77.40081559627615,20.816421599235383,19.519585008816616
