gen,nevals,avg,std,min,max
0,143,-4.546392541002224,9.056156195556838,-18.800711932219,32.83080229836518
1,143,-2.3603929488600244,10.01375330549128,-18.364162401254827,31.901319852626457
2,143,-0.9313348286276288,10.894627907167449,-18.063155851153613,53.033991646572616
3,143,2.224958302128012,12.073531696361092,-16.913242309905918,39.05346500709169
4,143,5.941512491612263,16.085850431897793,-18.686997721732663,47.47386218132034
5,143,8.43754299551871,16.492373080375756,-17.796161332382727,57.25147216676998
6,143,9.241787376223138,14.919030976932001,-19.39202178120542,51.55613578540681
7,143,9.819506144893989,14.94603629730073,-18.403228140296548,53.69399308747308
8,143,12.867938524973868,17.364586771551007,-18.498185576393638,70.50309039207617
9,143,14.571893954039606,15.2786621283783,-18.067829878589965,52.89827156963888
10,143,17.90179873031634,15.721418293353112,-11.065169161673175,67.7493505236654
11,143,16.21388930040477,15.253768773082177,-9.588758515027845,54.03615402890121
12,143,16.530132187063536,16.934123102490684,-12.763846577075412,77.15673107918207
13,143,19.821235362312823,15.74163641758377,-18.56240405868702,70.4782659110291
14,143,20.825463383648316,15.26754057188256,-18.665951292238073,57.67066777132791
15,143,24.72166291230737,14.347767803198387,-13.387197185368638,63.078775346847586
16,143,25.28029992377153,16.373958689879448,-13.792362989712883,70.11348448062847
17,143,26.204464623054438,15.315385609901872,-12.10223062856426,70.78066600982821
18,143,30.95856957654473,14.711356197200725,-3.0492020641939845,67.37509655243952
19,143,28.01133610076876,16.069669355425734,-11.371557225016094,67.61730012052467
20,143,30.505015449084503,15.01357412230364,-12.05467565887258,77.60705382571848
21,143,32.676659513787236,17.739969204014212,-12.10418075526442,86.75719718254793
22,143,35.053613703079876,16.83635122501209,-13.592329920130723,73.65400831137232
23,143,34.30842441673322,16.84547120693076,-12.208620148612912,77.64219719728176
24,143,33.81376243843523,18.834863943256025,-13.740606785839057,84.56792916747969
25,143,35.83183118172621,16.741705949238046,-7.153821834058949,77.49739685213453
26,143,36.75395615062696,15.839651083595886,1.1309679947435995,73.22970253225655
27,143,40.15795125410013,17.165827761058015,-7.752893430005692,77.43135087187585
28,143,39.901424856159565,17.43074931764412,-8.25417888084813,84.266980109339
29,143,40.28023930563103,19.093672944667457,-6.004667530874432,84.82108815210012
30,143,41.1575480141334,15.7201410941012,-2.3507475652318313,84.19481750057825
31,143,43.88280852111016,17.607978500626217,5.816438169009192,78.20557537894969
32,143,42.41779119361564,16.37924273382261,4.793596609787279,77.8855808305184
33,143,43.435294554826456,17.238773489967954,0.5449130138677845,86.11591887152188
34,143,41.835870438742646,18.698571350704682,-12.479232213444446,85.04595555246244
35,143,45.46792581546981,16.571736574028964,6.376531557292886,77.82264128923079
36,143,44.92493363502043,16.174014797263176,-0.4754958518362926,83.9407825725277
37,143,45.08187952670163,19.107969266077507,-3.922518116306904,84.89214009392109
38,143,49.377284927078975,15.091273644870531,9.212128650666337,85.57444102518126
39,143,44.54877381081201,17.086147578286756,-5.987447474374289,77.31482788751148
40,143,47.6647531257595,16.741613157155246,6.007864877912077,85.81159118576211
