gen,nevals,avg,std,min,max
0,10,-5.63862699586812,1.6311196421779774,-9.13317964211959,-3.869978652919169
1,10,-2.143082726685776,13.625226805108,-11.563099161334708,37.893412749490814
2,10,-1.4131790440323893,11.718251750483457,-11.266010572307035,31.913754966581596
3,10,5.555686056980042,12.634787228039631,-7.670421652110718,25.587328964343747
4,10,10.266426811391904,13.4623559279519,-7.296335532466085,35.80396441322134
5,10,7.317104039507581,9.326323686541464,-4.286039953595832,27.022618809698592
6,10,12.10688946685219,13.30213656847744,-13.060332619025782,35.68575917975849
7,10,15.782999756162639,15.232155869826565,-8.457177155660126,33.728441747923
8,10,17.733964697169206,13.562611765627343,-8.173661240542497,42.42476323083157
9,10,23.943126122653084,11.463479309730793,6.490227688406435,44.863166474173255
10,10,24.9751322484564,7.198335387003935,15.893987562239989,37.710473831369455
11,10,18.61231329089469,12.571851526645334,-2.1253380246563722,47.23773349961348
12,10,19.58727403255577,16.114763081083105,-6.541797155350977,42.08336640439621
13,10,21.505878541180152,9.928575927655777,-3.4780413520641957,31.718327639848987
14,10,30.99251785982287,12.909219437777153,-0.5417026216247987,49.17912503414456
15,10,32.100727594218455,10.72906033172132,18.375488770777686,55.952073428089996
16,10,28.77539338583974,11.185348892184443,9.990307300394655,49.46979839269646
17,10,34.29576933388078,10.820425483064675,9.024559951204946,48.93164894313557
18,10,39.773590681089075,9.704316779225993,25.586207991610216,56.32218554765278
19,10,38.58949235459593,7.822101314963397,25.654945734008216,49.41557409523229
20,10,35.87053007500681,10.895671408547503,15.771318346396306,57.850004623236394
21,10,34.752187334514666,6.9996726812174375,22.45634531529144,46.85104865452054
22,10,41.78038729674026,12.23557374915033,25.69365596891697,61.07006505791379
23,10,38.46392184619914,17.255465623227902,14.054987504876252,68.08095275391713
24,10,47.237795223771265,10.468974511954483,33.1327298428548,60.908634646574626
25,10,43.337695973271025,6.059137458963734,38.0301222912323,54.0011536247591
26,10,33.456655510375505,19.7272947664334,-0.39077291547369697,60.76590400877346
