gen,nevals,avg,std,min,max
0,58,-2.935858970286613,10.78234942271431,-16.85430377045405,37.90984409617684
1,58,-1.3610464350533724,10.348168131579964,-16.762222861882748,36.47943411477359
2,58,-3.319529505999802,9.622887440979463,-19.301180232023604,31.718815940234403
3,58,2.8043718124146855,13.021836238661807,-17.8272989612641,33.64569995121763
4,58,2.499261209693324,13.137493078377155,-18.538572931502337,38.03508450259514
5,58,6.568165878756722,13.335268356106521,-12.92844964997511,41.87297715545759
6,58,13.218448812644441,15.458433981550618,-14.620743477324094,47.40825483829715
7,58,15.50817220980346,16.72553544151222,-11.196193678039595,62.789423334510694
8,58,21.205201296343844,15.313115628173541,-10.67763970768588,54.07501351156469
9,58,23.4554434109398,14.6413233730028,-4.169305511764506,60.96603067683668
10,58,26.544014486742004,15.276922549016476,-9.742629735476314,57.50145071951522
11,58,30.91406116709836,15.305478519777472,-5.492043153604813,60.09330346274252
12,58,31.44206359457528,14.300564692849749,1.175598041051515,67.84606306194708
13,58,33.9767449277182,16.511721241398796,-8.181380482634268,72.99439845765716
14,58,33.960399109241486,17.333664416702714,-10.305715877532865,73.63799798882904
15,58,36.46489465126238,17.936306579654865,-4.132409956702253,73.26043842064333
16,58,40.376876115347116,14.92226102578832,-2.893619881468993,77.79688632862384
17,58,39.41567580722335,18.036582354221554,4.929981665576484,77.46524846252585
18,58,41.07360280378546,19.14971095198803,-12.475026578342618,85.86965883064667
19,58,41.41603614574386,15.602835935672339,6.3647971637051555,70.70468039224056
20,58,42.1973187297336,18.22569011880483,-2.00917989602949,85.73793386124058
21,58,42.42226287205818,17.73353555700411,4.149319477744105,85.08046753662911
22,58,42.623107631962874,15.995105036264981,6.547051598441065,69.99447406482284
23,58,40.70910324835872,17.831012254834356,-3.0685882852736626,74.89352108996147
24,58,43.075886491457766,20.317434534106102,-1.1945807928807284,85.61960547516192
25,58,42.67582479826394,17.560035359490467,9.337400190951307,85.31868992320167
26,58,45.44902654348114,17.524972557111408,3.931196816508354,85.32084221388016
27,58,48.238396260638766,19.153292082380236,7.318118441470091,88.03749475584576
28,58,47.786878976202786,17.798203237052803,-2.786243095178122,77.89023314140954
29,58,44.8379515763168,18.897095527071617,-5.719808695052432,73.26017589302953
30,58,47.763745215523414,17.38597128271356,11.367608420377977,86.37054129141183
31,58,53.01023306821639,15.933463602240339,14.936786437664345,88.59040911281838
32,58,53.01954894575977,17.402288097286526,10.273527896930624,86.09799206384572
33,58,51.73474540285094,19.4190816921496,-9.370489904357726,85.16806264897328
34,58,49.49174081907468,16.58045906218946,18.241219214718022,84.89571210167661
35,58,50.92968372426839,15.861662826323151,12.207748863547721,84.54120542841402
36,58,50.33843231792909,16.940716696900214,0.4703529259357069,85.01593065532039
37,58,49.21759880557253,19.652911866905193,-3.478382247328227,84.7172679299547
38,58,52.8776490970575,17.54551122009934,7.6948725148224995,85.92076164741076
39,58,51.52695563095101,17.37319124269302,16.883191570543424,85.10488863104825
