generation,max,mean,std,mean no. nodes
0,24.918595635015535,-3.255167220164615,7.735490807875673,15.0
1,39.168117522716486,1.3841193063526829,12.00295718944057,14.97
2,53.78539190157781,6.1306943998708325,15.362609233335633,14.82
3,61.36443510891826,7.528221312677142,17.15592671722748,14.99
4,61.384107874516964,11.719435855772621,17.024332145572984,14.98019801980198
5,61.384107874516964,10.834851744085604,17.349804192525685,14.732673267326733
6,69.38527439979624,10.055741842242202,18.573438426351938,15.171717171717171
7,71.30355587220548,12.748354867314482,18.83996448820823,14.881188118811881
8,71.30355587220548,10.82589518844252,19.25412707084415,15.01
9,71.30355587220548,9.418872997183241,18.75499242863704,15.257425742574258
10,71.30355587220548,10.162000365661067,17.969125988849363,15.118811881188119
11,71.30355587220548,8.668393975422767,17.3840853772742,15.25
12,71.30355587220548,11.574977952814745,18.41105119624017,14.91
13,71.30355587220548,11.426351980170086,19.60847413316289,15.13
14,71.30355587220548,9.91278893549812,18.76579526392442,14.94
15,71.30355587220548,12.578327909039366,20.17024018653723,14.43
16,71.30355587220548,8.759667290588364,18.226447517174883,14.41
17,71.30355587220548,5.750426987540731,16.83524288157218,14.21
18,77.78939992297535,7.271154111718212,18.40233559200825,14.07
19,77.78939992297535,9.791485023287331,17.174103138029622,14.14
20,78.01858578874553,10.208242387933018,19.321558579843643,13.82
21,78.01858578874553,9.284075800819197,18.78323211633353,13.87
22,78.01858578874553,10.22238031680711,18.15906867919475,13.87
23,78.01858578874553,8.233983105022814,19.425059102215716,13.95
24,78.01858578874553,9.610310800647168,19.674222922754502,14.25
25,78.01858578874553,11.234592386859587,21.05180444973882,14.36
26,80.04935744741228,10.719418729112858,21.066423078449667,14.83
27,80.04935744741228,13.025084607765377,20.685354750242414,14.47
28,80.04935744741228,10.860666377293446,20.901425679975127,13.93
29,80.04935744741228,7.973769218827272,20.267847295539138,14.23
30,80.04935744741228,11.07975212165974,21.657990005753877,13.98
31,80.04935744741228,11.932200700260582,22.510522989016508,13.81
32,80.04935744741228,11.675445898755461,21.578854405406553,13.7
33,80.04935744741228,17.430686683605995,23.559817079551845,13.54
34,80.04935744741228,10.640767038285553,21.65488101624157,13.56
35,80.04935744741228,12.90625999209815,19.929438890555062,13.18
36,80.04935744741228,10.111773773192152,20.458200705128384,12.86
37,80.04935744741228,13.257489131218119,21.050512622919808,13.01
38,80.04935744741228,10.983813691271026,21.582500351268617,12.96
39,80.04935744741228,10.697525601512323,19.482059065799362,13.45
40,80.04935744741228,13.117641866797204,22.10758772034037,13.5
41,80.04935744741228,14.3615652680801,21.38569858975057,13.66
42,80.04935744741228,13.211978517614599,21.249109884007012,13.71
43,80.04935744741228,14.51157398695945,23.35394928874144,13.36
44,80.04935744741228,12.511535477940882,21.65550917188616,13.43
45,80.04935744741228,15.21112888533371,22.501340327889434,13.6
46,80.04935744741228,12.45704043104151,21.891120946778983,13.37
47,80.04935744741228,15.983265576520408,21.34873280234853,12.94
48,80.04935744741228,10.538295558298088,20.634656633467273,13.11
49,87.43157441175589,13.310247372268666,21.323613606323434,12.56
50,87.43157441175589,12.900726192625713,20.175204586697376,12.76
51,87.43157441175589,11.183708936323683,21.631409429075152,12.84
52,87.43157441175589,10.837735625706134,21.78319945222028,13.53
53,87.43157441175589,10.909112467077074,22.365826212670232,13.24
54,87.43157441175589,9.6945268442217,20.2426684366941,13.03
55,87.43157441175589,11.152917251421808,22.88735190363952,13.33
56,87.43157441175589,9.181081065711602,20.70939533286899,13.47
57,87.43157441175589,12.148129479631553,21.42182863009559,13.56
58,87.43157441175589,14.14379325809698,22.096097562278537,13.07
59,87.43157441175589,13.319599482407277,22.09633044217903,12.99
60,87.43157441175589,15.889769693202714,23.966910659626084,12.38
61,87.43157441175589,16.07609003016255,22.861032414755098,12.57
62,87.43157441175589,15.446787585560546,23.2234540313417,12.67
