generation,max,mean,std,mean no. nodes
0,18.081159392203404,-3.8558685588085204,6.531717950287103,15.0
1,24.179917069647637,0.5448064480485798,10.386899669296103,15.01980198019802
2,24.67212383121042,4.489382390280588,11.899919056840645,15.01980198019802
3,46.242332412117364,8.148073950090296,12.64612607840308,14.722772277227723
4,46.875982493812664,9.981799404058252,14.156443769062014,14.722772277227723
5,71.66811752271649,8.81561788299919,15.332447706668104,14.78
6,71.66811752271649,10.207823549961132,15.69267959502335,14.616161616161616
7,71.66811752271649,10.438432421709969,16.817506783572217,14.686868686868687
8,71.66811752271649,14.757960998396985,18.19042318349435,14.444444444444445
9,74.3137913760995,14.253528686565014,19.357949781717416,14.62
10,74.3137913760995,12.573988534942412,19.086762450598695,14.09
11,74.3137913760995,14.064447824612175,21.04229185837488,14.287128712871286
12,78.79342407327508,13.146368261405405,21.398056480225033,14.326732673267326
13,78.79342407327508,11.244338857323351,20.754952386190087,14.52
14,78.79342407327508,9.817055668740483,20.048973939553978,14.376237623762377
15,78.79342407327508,14.114383728041364,21.079580306856933,14.5
16,78.79342407327508,11.761863419424035,21.186147134411154,14.82
17,78.79342407327508,9.582013375304856,20.434395183382176,14.66
18,78.79342407327508,14.353567638729569,20.73158154856809,14.24
19,78.79342407327508,13.788298049853257,22.49470218143704,13.39
20,78.79342407327508,12.739719108661834,20.36084199427841,13.74
21,78.79342407327508,14.109908206023208,21.8315691993728,13.11
22,78.79342407327508,15.204111831821699,22.199944202000154,12.8
23,85.89744140538643,15.338082552486975,23.645956753606455,13.09
24,85.89744140538643,13.463040872987836,23.276747646099818,13.16
25,85.89744140538643,15.826256163830877,22.333390426772525,13.27
26,85.89744140538643,12.398181451717077,22.117036329528958,13.61
27,85.89744140538643,15.324483974166435,23.515011449155057,13.53
28,85.89744140538643,17.097503579015132,25.5382979443361,13.63
29,85.89744140538643,14.523404743090746,23.686372687334686,13.5
30,85.89744140538643,15.193455799459427,24.824597487924375,13.33
31,85.89744140538643,19.031335238356572,25.25009246378801,12.69
32,85.89744140538643,18.678563895551815,24.67574611865326,13.51
33,85.89744140538643,21.297484848146386,24.09465754702992,12.84
34,85.89744140538643,22.547350616760447,24.318276948104447,13.05
35,85.89744140538643,23.052716554223107,26.01124455646056,13.26
36,85.89744140538643,16.788725954345455,25.39971338346733,13.21
37,85.89744140538643,18.69175978797035,25.406209336866375,13.88
38,85.89744140538643,18.93602321301842,25.93953359335141,13.57
39,85.89744140538643,21.563168295670643,26.177574846186367,14.29
40,85.89744140538643,19.51763199871974,26.399411967475636,13.74
41,85.89744140538643,21.274802377858997,25.610852935214208,13.29
42,85.89744140538643,20.816564087954266,25.938455282465664,13.12
43,85.89744140538643,20.383929828356017,24.991756395891436,12.87
44,85.89744140538643,23.15273606464338,24.77273491459645,13.16
45,85.89744140538643,22.532963130583923,24.104694875724558,13.25
46,85.89744140538643,22.67212981599816,24.971154586060255,13.85
47,85.89744140538643,22.657177052678787,25.33938308022559,14.04
48,85.89744140538643,23.599147730033255,24.72742047099907,13.96
49,85.89744140538643,25.496134309605118,24.785158516990602,13.01
50,85.89744140538643,19.714000052601236,24.300121887595264,13.63
51,85.89744140538643,22.805514275306724,24.640657584199126,13.38
52,85.89744140538643,28.040092721928918,23.943288599441306,13.53
53,85.89744140538643,20.178755622211128,23.748082778327483,14.06
54,85.89744140538643,21.617259955939243,25.614526969373898,13.6
55,85.89744140538643,23.2962854792346,25.887802349926368,13.54
56,85.89744140538643,22.50145541699726,24.61082599070905,13.55
57,85.89744140538643,22.472615717018638,25.129123531062795,13.83
58,85.89744140538643,20.41483267287111,24.31750495502743,13.52
59,85.89744140538643,18.461879475892104,23.54340072694105,13.42
60,85.89744140538643,25.558372235075463,22.579802158422375,13.52
61,85.89744140538643,25.630186361413053,25.209721811514513,13.78
62,85.89744140538643,23.810926005880706,25.72521059247788,13.08
63,85.89744140538643,23.622994015908006,26.518128554884576,12.84
64,85.89744140538643,20.50702948922431,26.24219800132406,13.05
65,85.89744140538643,20.016217907122925,26.20596432914391,13.16
66,85.89744140538643,24.349593905734718,25.79637007213203,13.46
67,85.89744140538643,21.92427294010492,26.833379311037582,13.9
68,85.89744140538643,21.3327124295805,25.319349027029315,13.94
69,85.89744140538643,24.044160390020547,24.730727702304613,13.57
70,85.89744140538643,18.779410955469086,24.871294366956032,13.48
71,85.89744140538643,23.075669892848797,26.469541190643927,13.88
72,85.89744140538643,25.360673523270506,25.08909057523922,13.49
73,85.89744140538643,23.266495247268075,25.034314891656432,13.87
74,85.89744140538643,21.169538081824054,25.428969550333722,14.08
75,85.89744140538643,18.788501571307222,25.452548083847557,13.56
76,85.89744140538643,20.321440086459212,25.309479461192993,12.91
77,85.89744140538643,21.89879155247874,24.729255604750488,12.97
78,85.89744140538643,21.885586789471173,24.596660891380832,13.34
79,85.89744140538643,19.19953382401942,24.777610584101705,13.64
