gen,nevals,avg,std,min,max,sigma
0,100,7.675525443985225,19.1705304556804,-6.395261598115449,90.92482618476618,9.664821902847278
1,100,6.604661963360017,18.252159442737938,-6.413458957167357,75.33703951986405,9.401022640765861
2,100,9.029288066834148,21.163685132169455,-6.405228458030842,84.72544845445559,9.171730614459321
3,100,13.744892865255565,20.055339885625944,-6.405228458030842,76.43931836898447,8.975573137106934
4,100,18.444855540988144,24.887866143113055,-6.186208623900494,86.45014399275047,8.812298071865444
5,100,23.55987272502064,26.6309474672931,-6.410174881966167,84.43931836898447,8.670782758999174
6,100,29.74559322063075,25.242581977292186,-6.429719478039138,88.44317193830047,8.548380374321198
7,100,34.45049993897439,27.99633040256047,-6.415096959171596,88.94704041507838,8.443107102101486
8,100,42.3043994719332,26.974772700924877,-6.013715156042802,87.38200618758324,8.356599294732113
9,100,49.85829853057816,28.215391446298792,-5.971261839790462,90.45092391510478,8.290033737709487
