gen,nevals,avg,std,min,max,sigma
0,100,6.551393083655687,18.47204138840964,-6.405228458030842,78.5619206910768,9.664060985138498
1,100,7.104185691545874,16.615027950084084,-6.410174881966167,70.23214184093668,9.401078020921597
2,100,11.150430647197751,19.680618322950966,-6.400257445308821,75.44704041507838,9.185386087900085
3,100,16.545268536848372,22.521430570747633,-6.411818267709897,85.83521402607649,9.00949776285012
4,100,23.31851092078243,24.452898889597257,-5.796057750765372,78.0489615464343,8.867465935937659
5,100,28.832534501005007,29.42023069375884,-6.405228458030842,89.5361681949744,8.750823583641347
6,100,37.72786788535566,28.56827809157006,-5.834810737062605,91.5361681949744,8.649008713882994
7,100,42.833892318165155,28.174847500851826,-5.8971538676367405,89.41859563501554,8.55159881679799
8,100,47.45739840305444,27.487383877401697,-6.434546518787453,90.37603602059674,8.465156184286453
9,100,54.22974637262285,25.90569620009497,-5.902633333401366,90.73214184093668,8.396619667043256
