gen,nevals,avg,std,min,max,sigma
0,100,9.759981504015276,20.01041130553219,-6.304448802421981,91.04041448585585,9.667467947667271
1,100,6.7081655079776725,16.4119899960478,-6.428105272684596,54.27641489804762,9.398352982977563
2,100,11.427478773565708,19.775474450421832,-6.437751649736401,88.47853908213776,9.178626637349995
3,100,11.75612452816022,22.98853650224664,-6.483107351457199,78.65067522005315,8.998790182252787
4,100,13.308725838456628,21.87271116732922,-6.436150368369428,79.83357331188756,8.849903309870195
5,100,23.51910890602921,28.02597392651771,-6.154858094016418,89.26355803717006,8.71684284934256
6,100,27.231647860509074,26.762050289212482,-6.410174881966167,88.94704041507838,8.608138845611796
7,100,29.551807238979578,28.171371667046074,-6.154858094016418,90.73214184093668,8.523883024835788
8,100,38.76724766011735,26.241672875313075,-5.834810737062605,88.44317193830047,8.460554358569267
9,100,47.68238081912659,24.13805408066848,-6.182084906716632,88.95092391510478,8.40567923393941
