gen,nevals,avg,std,min,max,sigma
0,100,0.684050647098175,12.617490214906711,-6.464588303689961,61.65645558296864,9.66761396077928
1,100,-2.538681928595433,6.230657863980019,-6.439350371100098,24.133531943066703,9.403755081669761
2,100,0.15687593330414326,10.242109005252749,-6.4457198193855785,39.269900217026425,9.183516520038902
3,100,0.2517309016295093,11.720492696318923,-6.391917113392602,61.7731522524128,9.005877578869509
4,100,3.9698666102032765,13.32785450407296,-6.831953565565855,46.76665872310225,8.849734233631509
5,100,3.0277905698422676,13.070942634913786,-6.39024066706535,61.769900217026425,8.709976163120764
6,100,7.186447647007539,15.61909675056924,-6.345636360828596,61.75379680945985,8.599106194987236
7,100,10.097467243820258,19.622216335982728,-6.439350371100098,94.88801221164346,8.505286812720021
8,100,13.630350682293622,20.52163691256562,-6.324358962381311,94.88801221164346,8.425647618457798
9,100,14.930827085338045,18.331295223787833,-5.940171252720432,61.769900217026425,8.356163411509112
